ResourceID,title,description,filepath,format,unit,preview
0b4d02e1-cf0d-4b66-85c8-76646170062a,Paiute Rocks - Panel 43 49,"This large, complex solid pecked panel faces south and is affected by surface spalling. Among its numerous motifs are: rakes; a cross; grids; rectilinear meanders; and a wavy line. Part of the panel seems to have been destroyed by surface spalling.<br>NOTE: This is only the description for 43, though the descriptions up to 49 should be included too.",Paiute-Rocks_Panel-43-49.ply,PLY,Centimeter,Paiute-Rocks_Panel-43-49_Preview-Image.jpg
499018be-e9e9-482b-8604-295b488e009b,Paiute Rocks - Panel 50 51,50 This solid pecked panel faces southwest and is affected by surface spalling. The numerous motifs in this panel include: nested arcs; joined circles; rakes; wavy lines; and a large, complex curvilinear meander.<br>51A This complex solid pecked panel faces southwest and is affected surface spalling. The edge of a natural hollow is outlined by one design (incorporation of a natural feature). The motifs in this panel include: complex curvilinear meanders; nested curving lines; a cross; undulating lines; and open circular/ovoid forms.<br>51B This stipple pecked panel faces south and is affected by exposure. Its motifs are difficult to discern but seem to include an open oval/circle and a curvilinear meander.,Paiute-Rocks_Panel-50-51.ply,PLY,Centimeter,Paiute-Rocks_Panel-50-51_Preview-Image.jpg
bcca36d8-f5f3-4b02-adea-c08750e020b3,Paiute Rocks - Panel 58 59,"58A This stipple pecked panel faces southeast and incorporates a natural feature. This panel is superimposed and is affected by exposure, surface spalling and graffiti. The graffiti takes the form of the date '1949' and a person’s head in profile. The prehistoric motifs include: an open circle; three anthropomorphic figures; a possible bighorn sheep figure; two open circles joined by a short horizontal line; and a curvilinear meander. The possible bighorn sheep figure incorporates a natural hole in its design.<br> 58B This solid pecked panel faces southeast and is affected by exposure and surface spalling. Its only motif is a pair of vertical lines that disappear into an area of spalling.<br>59A This stipple pecked panel faces east and is affected by exposure. Its motifs include an arc, an undulating line with two short vertical lines, and a fork-like figure.<br>59B This stipple pecked panel faces east and is affected by exposure. Its only motifs are areas of indistinct pecking.",Paiute-Rocks_Panel-58-59.ply,PLY,Centimeter,Paiute-Rocks_Panel-58-59_Preview-Image.jpg
e27685bd-7a5e-4da6-b77c-31bcbf1ee303,Paiute Rocks - Panel 7,This solid pecked panel faces east and has been made in a natural hollow of patinated rock that is surrounded by a large area of surface spalling. The single motif is a bighorn sheep (approximately 15-x-12 cm).,Paiute-Rocks_Panel-7.ply,PLY,Centimeter,Paiute-Rocks_Panel-7_Preview-Image.jpg
df14bee5-409c-4c8f-99bb-fa2520bd4974,Red Pigment - Panel 1 Bottom F1,this is the description for Red Pigment - Panel 1 Bottom F1,Red-Pigment_Panel-1-Bottom-F1.ply,PLY,Centimeter,Red-Pigment_Panel-1-Bottom-F1_Preview-Image.jpg
7c4b0ccb-9474-4903-a82c-7c3fa4f35dd8,Red Pigment - Panel 1 Top F1,this is the description for Red Pigment - Panel 1 Top F1,Red-Pigment_Panel-1-Top-F1.ply,PLY,Centimeter,Red-Pigment_Panel-1-Top-F1_Preview-Image.jpg
c3ef7a7f-a980-4899-8162-4bf07be7c865,Red Pigment - Panel 10C,this is the description for Red Pigment - Panel 10C,Red-Pigment_Panel-10C.ply,PLY,Centimeter,Red-Pigment_Panel-10C_Preview-Image.jpg
42c0421d-44cb-4a01-bfa8-e31e5426e29e,Red Pigment - Panel 17A,this is the description for Red Pigment - Panel 17A,Red-Pigment_Panel-17A.ply,PLY,Centimeter,Red-Pigment_Panel-17A_Preview-Image.jpg
00c7e2f1-2976-4ae5-9b6f-385c9da9611b,Red Pigment - Panel 17B,this is the description for Red Pigment - Panel 17B,Red-Pigment_Panel-17B.ply,PLY,Centimeter,Red-Pigment_Panel-17B_Preview-Image.jpg
dc75a912-2782-4b07-8e47-59a9a9df4a21,Red Pigment - Panel 19,this is the description for Red Pigment - Panel 19,Red-Pigment_Panel-19.ply,PLY,Centimeter,Red-Pigment_Panel-19_Preview-Image.jpg
f4b721cb-2a3c-4836-9608-f79874047e6d,Red Pigment - Panel 2 F1,this is the description for Red Pigment - Panel 2 F1,Red-Pigment_Panel-2-F1.ply,PLY,Centimeter,Red-Pigment_Panel-2-F1_Preview-Image.jpg
08bf1ee1-1d7f-43f6-888f-36d63b60749e,Red Pigment - Panel 2,this is the description for Red Pigment - Panel 2,Red-Pigment_Panel-2.ply,PLY,Centimeter,Red-Pigment_Panel-2_Preview-Image.jpg
2f3440c3-7cdc-45e3-8b95-e898a25b23d3,Red Pigment - Panel 21,this is the description for Red Pigment - Panel 21,Red-Pigment_Panel-21.ply,PLY,Centimeter,Red-Pigment_Panel-21_Preview-Image.jpg
66f5f78a-1149-4fee-b07a-998b355ccc72,Red Pigment - Panel 23A,this is the description for Red Pigment - Panel 23A,Red-Pigment_Panel-23A.ply,PLY,Centimeter,Red-Pigment_Panel-23A_Preview-Image.jpg
ef6b2190-73a3-4a83-b77d-d74a3f22d15e,Red Pigment - Panel 23B,this is the description for Red Pigment - Panel 23B,Red-Pigment_Panel-23B.ply,PLY,Centimeter,Red-Pigment_Panel-23B_Preview-Image.jpg
61863fbb-76b4-4c69-abfd-190c4021b86e,Red Pigment - Panel 23C,this is the description for Red Pigment - Panel 23C,Red-Pigment_Panel-23C.ply,PLY,Centimeter,Red-Pigment_Panel-23C_Preview-Image.jpg
dbd291cf-d786-446a-a408-5b70f8a204bd,Red Pigment - Panel 24,this is the description for Red Pigment - Panel 24,Red-Pigment_Panel-24.ply,PLY,Centimeter,Red-Pigment_Panel-24_Preview-Image.jpg
a989c9e6-cf9a-40ff-9ef5-fb7b5ad8ad19,Red Pigment - Panel 25,this is the description for Red Pigment - Panel 25,Red-Pigment_Panel-25.ply,PLY,Centimeter,Red-Pigment_Panel-25_Preview-Image.jpg
8b13d5a2-4652-4334-ad00-b0d41ae1d305,Red Pigment - Panel 33,this is the description for Red Pigment - Panel 33,Red-Pigment_Panel-33.ply,PLY,Centimeter,Red-Pigment_Panel-33_Preview-Image.jpg
0984735f-391c-41bc-ac95-8b5378f5e96f,Red Pigment - Panel 35,this is the description for Red Pigment - Panel 35,Red-Pigment_Panel-35.ply,PLY,Centimeter,Red-Pigment_Panel-35_Preview-Image.jpg
27339346-5d6a-4a66-a08b-c6e04ad8c086,Red Pigment - Panel 7,this is the description for Red Pigment - Panel 7,Red-Pigment_Panel-7.ply,PLY,Centimeter,Red-Pigment_Panel-7_Preview-Image.jpg
